opener,n=0,n=1,n=2,n=3,n=4,n=5,n=6,n=8,n=10,n=15,n=20,n=25,best_n,best_avg,best_fails
peart,3.887189,3.887189,3.887189,3.892878,3.901511,3.911713,3.922896,3.941142,3.955856,3.989209,4.008436,4.018442,0,3.887189,94
clapt,3.895429,3.895429,3.895429,3.900334,3.908574,3.916029,3.927016,3.944673,3.959584,3.990779,4.006474,4.013930,0,3.895429,77
plant,3.895429,3.895429,3.895429,3.901707,3.911517,3.918776,3.928389,3.947028,3.958603,3.989013,4.007259,4.024132,0,3.895429,83
smalt,3.896213,3.896213,3.896213,3.902492,3.912498,3.922503,3.931332,3.948793,3.972140,4.000392,4.013930,4.024132,0,3.896213,73
prate,3.896998,3.896998,3.896998,3.902884,3.911320,3.920934,3.929566,3.946439,3.962527,3.999804,4.025701,4.044928,0,3.896998,86
trape,3.897587,3.897587,3.897587,3.902884,3.910536,3.919168,3.928193,3.946635,3.965470,3.994114,4.020404,4.033549,0,3.897587,87
slart,3.898764,3.898764,3.898764,3.903473,3.912498,3.922111,3.930155,3.951736,3.967039,3.994114,4.006671,4.017265,0,3.898764,102
slant,3.899549,3.899549,3.899549,3.905042,3.914067,3.925446,3.936826,3.956641,3.972729,3.994703,4.012556,4.016676,0,3.899549,102
palet,3.901903,3.901903,3.901903,3.907985,3.918580,3.929174,3.940357,3.967039,3.985089,4.014126,4.038062,4.051010,0,3.901903,92
spilt,3.903080,3.903080,3.903080,3.909751,3.918776,3.928978,3.940161,3.953698,3.970375,4.004709,4.024524,4.042378,0,3.903080,87
split,3.903276,3.903276,3.903276,3.910143,3.919953,3.930351,3.940357,3.953698,3.972533,4.004120,4.027860,4.043555,0,3.903276,84
slipt,3.903276,3.903276,3.903276,3.909358,3.917599,3.927212,3.938788,3.953894,3.971944,4.005493,4.030410,4.047675,0,3.903276,91
spalt,3.903473,3.903473,3.903473,3.907985,3.916618,3.924662,3.935256,3.952717,3.969001,3.993329,4.008633,4.028644,0,3.903473,88
parte,3.904454,3.904454,3.904454,3.910536,3.921130,3.931136,3.941534,3.960761,3.977045,4.013930,4.040416,4.052188,0,3.904454,90
slate,3.905435,3.905435,3.905435,3.911124,3.920934,3.929763,3.945262,3.961154,3.979007,3.994310,4.016284,4.030018,0,3.905435,116
lares,3.975476,3.975476,3.975476,3.980577,3.993133,4.003139,4.015499,4.032568,4.055719,4.092015,4.108103,4.119286,0,3.975476,150
ranes,3.982735,3.982735,3.982735,3.990975,4.000785,4.008436,4.013734,4.037081,4.052972,4.084363,4.103787,4.115362,0,3.982735,149
crane,3.952717,3.952717,3.952717,3.957622,3.967824,3.980184,3.991367,4.008436,4.026682,4.058466,4.087699,4.095546,0,3.952717,142
raise,4.007848,4.007848,4.007848,4.014911,4.025113,4.035119,4.048067,4.070237,4.087110,4.118697,4.138120,4.153031,0,4.007848,164
salet,3.912301,3.912301,3.912301,3.921130,3.932902,3.944085,3.955268,3.981362,3.996665,4.019619,4.041789,4.050618,0,3.912301,123
trace,3.916225,3.916225,3.916225,3.921326,3.932902,3.939965,3.949186,3.968805,3.981950,4.020012,4.045321,4.058073,0,3.916225,116
crate,3.914263,3.914263,3.914263,3.920149,3.930940,3.939768,3.948990,3.968413,3.980773,4.018246,4.049048,4.066706,0,3.914263,115
