n,avg_guesses,median_guesses,pct_solved_6,fails,max_guesses,g1,g2,g3,g4,g5,g6,g7plus
0,4.024524,4.0,96.9394,156,12,1,172,1463,2198,860,247,156
1,4.024524,4.0,96.9394,156,12,1,172,1463,2198,860,247,156
2,4.024524,4.0,96.9394,156,12,1,172,1463,2198,860,247,156
3,4.030802,4.0,96.9198,157,12,1,172,1460,2185,864,258,157
4,4.043359,4.0,96.8805,159,12,1,172,1454,2152,888,271,159
5,4.053169,4.0,96.8020,163,12,1,172,1453,2120,910,278,163
6,4.064548,4.0,96.7236,167,12,1,172,1451,2085,932,289,167
7,4.069649,4.0,96.6843,169,12,1,172,1449,2072,940,294,169
8,4.076319,4.0,96.6058,173,12,1,172,1444,2064,942,301,173
9,4.084560,4.0,96.5666,175,12,1,172,1443,2042,949,315,175
10,4.091426,4.0,96.4097,183,12,1,172,1442,2034,943,322,183
11,4.098489,4.0,96.3508,186,12,1,172,1438,2021,949,330,186
12,4.106533,4.0,96.2723,190,12,1,172,1432,2012,948,342,190
13,4.112811,4.0,96.2527,191,12,1,172,1430,2001,948,354,191
14,4.116932,4.0,96.2135,193,12,1,172,1429,1990,954,358,193
15,4.121248,4.0,96.1742,195,12,1,172,1427,1981,959,362,195
16,4.124387,4.0,96.0761,200,12,1,172,1426,1978,958,362,200
17,4.129880,4.0,96.0173,203,12,1,172,1425,1963,967,366,203
18,4.134589,4.0,95.9388,207,13,1,172,1424,1958,965,370,207
19,4.136355,4.0,95.9388,207,13,1,172,1424,1953,966,374,207
20,4.137336,4.0,95.9192,208,13,1,172,1424,1952,965,375,208
21,4.138120,4.0,95.9192,208,13,1,172,1422,1954,963,377,208
22,4.141063,4.0,95.8603,211,13,1,172,1420,1951,964,378,211
23,4.146753,4.0,95.7622,216,13,1,172,1415,1946,967,380,216
24,4.147145,4.0,95.7426,217,13,1,172,1416,1943,969,379,217
25,4.150481,4.0,95.6837,220,13,1,172,1416,1938,971,379,220
26,4.152050,4.0,95.6445,222,13,1,172,1417,1937,966,382,222
27,4.152050,4.0,95.6445,222,13,1,172,1417,1937,966,382,222
28,4.156955,4.0,95.6445,222,13,1,172,1408,1936,970,388,222
29,4.160094,4.0,95.6249,223,13,1,172,1403,1935,973,390,223
30,4.161468,4.0,95.6249,223,13,1,172,1397,1940,974,390,223
31,4.162448,4.0,95.6249,223,13,1,172,1394,1942,974,391,223
32,4.164999,4.0,95.6053,224,13,1,172,1390,1941,977,392,224
33,4.166961,4.0,95.6053,224,13,1,172,1386,1940,981,393,224
34,4.166961,4.0,95.6053,224,13,1,172,1386,1940,981,393,224
35,4.169315,4.0,95.5856,225,13,1,172,1382,1939,984,394,225
36,4.170296,4.0,95.5856,225,13,1,172,1380,1939,984,396,225
37,4.172847,4.0,95.5268,228,13,1,172,1377,1938,986,395,228
38,4.172847,4.0,95.5268,228,13,1,172,1377,1938,986,395,228
39,4.175790,4.0,95.4875,230,13,1,172,1374,1937,986,397,230
40,4.175790,4.0,95.4679,231,13,1,172,1374,1935,990,394,231
41,4.175790,4.0,95.4679,231,13,1,172,1374,1935,990,394,231
42,4.176967,4.0,95.4875,230,13,1,172,1374,1930,993,397,230
43,4.176967,4.0,95.4875,230,13,1,172,1374,1930,993,397,230
44,4.176967,4.0,95.4875,230,13,1,172,1374,1930,993,397,230
45,4.177948,4.0,95.4875,230,13,1,172,1374,1925,998,397,230
46,4.177948,4.0,95.4875,230,13,1,172,1374,1925,998,397,230
47,4.177948,4.0,95.4875,230,13,1,172,1374,1925,998,397,230
48,4.176967,4.0,95.5268,228,13,1,172,1374,1927,997,398,228
49,4.178340,4.0,95.5072,229,13,1,172,1374,1924,997,400,229
50,4.183049,4.0,95.4875,230,13,1,172,1366,1923,998,407,230
55,4.186580,4.0,95.4679,231,13,1,172,1357,1926,1002,408,231
60,4.185992,4.0,95.4679,231,13,1,172,1359,1926,999,409,231
70,4.194820,4.0,95.4287,233,13,1,172,1349,1915,1009,418,233
80,4.202276,4.0,95.3894,235,13,1,172,1337,1913,1015,424,235
100,4.218168,4.0,95.3698,236,13,1,172,1313,1899,1035,441,236
125,4.234844,4.0,95.2521,242,13,1,172,1277,1906,1045,454,242
150,4.257995,4.0,95.2325,243,13,1,172,1224,1905,1084,468,243
200,4.258191,4.0,95.3110,239,13,1,172,1221,1901,1094,469,239
300,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
500,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
1000,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
5097,4.278791,4.0,95.3306,238,13,1,172,1174,1897,1137,478,238
